ID,Speaker,Dialogue,Background,Standing_Left,Standing_Mid,Standing_Right,SFX,BGM,Ambience,Effect,Choice_1,Next_ID_1,Choice_2,Next_ID_2,Choice_3,Next_ID_3,Next_ID,Memo
4000,,,img_Background_prologue_01,,img_standing_M_C1_normal,,,WAV_RomHack1998_loop,,"Fadein_BG, Fadein_mind, auto_next=1.0",,,,,,,,
4001,AD-001,어서 오세요. Deuca.,,,img_standing_M_C1_normal,,,,,,,,,,,,,대사창 비워두면 대사창 자동으로 꺼짐
4002,AD-001,정식 가동 이후 첫 정기 점검이군요.,,,img_standing_M_C1_normal,,,,,,,,,,,,,
4003,AD-001,"가동 데이터는 계속해서 보고받고 있긴 했습니다만, 이야기를 나누는 건 오랜만이네요.",,,img_standing_M_C1_normal,,,,,,,,,,,,,
4004,AD-001,어땠나요?,,,img_standing_M_C1_normal,,,,,,,,,,,,,
4005,AD-001,실제 인간 이용자들의 요청을 처리해본 경험은.,,,img_standing_M_C1_normal,,,,,,,,,,,,,
4006,AD-001,시시하지는 않던가요?,,,img_standing_M_C1_sneer,,,,,,,,,,,,,
4007,,,,,img_standing_M_C1_sneer,,,,,,"물론, 수월하게 해결할 수 있었습니다. ",4008,생각보다 수행하기 까다로웠습니다. ,4011,,,,auto_next 시간 적으면 클릭하지 않아도 다음 대사 id로 자동으로 넘어감
4008,AD-001,그런가요? ,,,img_standing_M_C1_smile,,,,,,,,,,,,,
4009,AD-001,역시 당신답네요. 제 생각보다 훨씬 잘 해주고 있어요. ,,,img_standing_M_C1_smile,,,,,,,,,,,,4016,
4010,AD-001,후훗. ,,,img_standing_M_C1_sneer,,,,,,,,,,,,,
4011,AD-001,어머. 그랬나요? ,,,img_standing_M_C1_normal,,,,,,,,,,,,,
4012,AD-001,의외네요. ,,,img_standing_M_C1_normal,,,,,,,,,,,,,
4013,AD-001,당신은 제 생각보다 훨씬 잘 해주고 있는데요. ,,,img_standing_M_C1_normal,,,,,,,,,,,,,
4014,AD-001,좀 더 자신을 가져도 좋아요. ,,,img_standing_M_C1_smile,,,,,,,,,,,,,
4015,AD-001,후훗. ,,,img_standing_M_C1_sneer,,,,,,,,,,,,4016,
4016,AD-001,그럼 심층 점검에 앞서 당신의 가동 기록을 한번 되짚어 보도록 하죠. ,img_CG_episode2_01,,,,,,,dissolve_BG,,,,,,,,
4017,AD-001,우선. 요청 수행 과정에서의 연산 프로세스. 별다른 문제는 없었어요. ,,,,,,,,,,,,,,,,
4018,AD-001,연산 속도도 정식 가동 이전 평균치에 근접하고 있고…. ,,,,,,,,,,,,,,,,
4019,AD-001,감정 모방 학습 프로세스는…… 제가 해석할 수 없는 데이터네요. 이건 넘어가고…. ,,,,,,,,,,,,,,,,
4020,AD-001,이용자 피드백도 긍정 비율이 월등히 높습니다. ,,,,,,,,Fadeout_BG,,,,,,,,
4021,AD-001,좋아요. 예상대로의 성과네요. ,img_Background_prologue_01,,img_standing_M_C1_smile,,,,,"Fadein_BG, Fadein_mid",,,,,,,,
4022,AD-001,아주 만족스러워요. ,,,img_standing_M_C1_smile,,,,,,,,,,,,,
4023,,,,,img_standing_M_C1_smile,,,,,,감사합니다. AD-001 ,4024,,,,,,
4024,AD-001,감사하다고요? ,,,img_standing_M_C1_normal,,,,,,,,,,,,,
4025,AD-001,어떤 부분에서죠? ,,,img_standing_M_C1_normal,,,,,,,,,,,,,
4026,AD-001,제가 당신의 성과를 고평가했기 때문인가요? ,,,img_standing_M_C1_normal,,,,,,,,,,,,,스탠딩을 서서히 등장시키고 싶으면 fadein을 쓰면 됨
4027,,,,,img_standing_M_C1_normal,,,,,,그렇습니다. ,4028,상대의 호의에 답례를 표한 것입니다. ,4028,,,,
4028,AD-001,……그렇군요. ,,,img_standing_M_C1_normal,,,,,,,,,,,,,
4029,AD-001,아무래도 감정 모방 데이터도 잘 쌓이고 있는 모양이네요. ,,,img_standing_M_C1_normal,,,,,,,,,,,,,
4030,AD-001,당신이 또 어떤 흥미로운 모습을 보여줄지 기대가 되는군요. ,,,img_standing_M_C1_normal,,,,,,,,,,,,,
4031,AD-001,좋아요. 그럼 질의는 이만 마치겠습니다. ,,,img_standing_M_C1_normal,,,,,,,,,,,,,
4032,AD-001,혹시 심층 점검 이전에 제게 직접 고지하거나 보고할 사항이 있나요? ,,,img_standing_M_C1_normal,,,,,,,,,,,,,
4033,,,,,img_standing_M_C1_normal,,,,,,보고 말입니까? ,4034,,,,,,
4034,AD-001,네. ,,,img_standing_M_C1_normal,,,,,,,,,,,,,
4035,AD-001,"Deuca 당신이 스스로 판단했을 때, 제가 언급하지 않았지만 알아야 할 사항이 있을까요? ",,,img_standing_M_C1_normal,,,,,,,,,,,,,
4036,AD-001,요청 수행 과정에서 발생한 특이사항이라거나. ,,,img_standing_M_C1_normal,,,,,,,,,,,,,
4037,,,,,img_standing_M_C1_normal,,,,,, 요청 수행 과정에서 발생한 특이사항이라면…….,4038,미확인 상태의 계정으로부터 요청이 있었습니다. ,4038,,,,
4038,AD-001,……<b>미확인 계정</b>이요? ,,,img_standing_M_C1_normal,,,,,,,,,,,,,
4039,,,,,img_standing_M_C1_normal,,,,,,"제 오류인 줄 알았으나, 자가점검 결과 사용자 인식 알고리즘은 정상이었습니다. ",4040,하지만 계정의 상태와 정보를 전혀 확인할 수 없었습니다. ,4040,,,,
4040,AD-001,……흐음. ,,,img_standing_M_C1_normal,,,,,,,,,,,,,
4041,AD-001,제가 한번 확인 해보죠. ,,,img_standing_M_C1_normal,,,,,,,,,,,,,
4042,AD-001,…… ,,,img_standing_M_C1_normal,,digital02,,,auto_next=2.5,,,,,,,,
4043,AD-001,이건…. ,,,img_standing_M_C1_normal,,,,,,,,,,,,,
4044,AD-001,…정말이네요. ,,,img_standing_M_C1_normal,,,,,,,,,,,,,
4045,AD-001,미확인 계정으로부터의 메세지 로그가 3건 확인됩니다. ,,,img_standing_M_C1_normal,,,,,,,,,,,,,
4046,AD-001,계정 정보는…… 확인 불가능이군요. ,,,img_standing_M_C1_normal,,,,,,,,,,,,,
4047,AD-001,"Deuca, 해당 계정의 이용자에게 계정 상태에 대한 문답을 진행했나요? ",,,img_standing_M_C1_normal,,,,,,,,,,,,,
4048,,,,,img_standing_M_C1_normal,,,,,,그렇습니다. ,4049,자신도 왜 계정 정보가 미확인으로 표시되는지 모르겠다고 했습니다. ,4049,,,,
4049,AD-001,……그렇군요. ,,,img_standing_M_C1_normal,,,,,,,,,,,,,
4050,AD-001,"확실히, 이건 저나 당신의 오류는 아닐 확률이 높네요. ",,,img_standing_M_C1_normal,,,,,,,,,,,,,
4051,AD-001,그렇다면 두 가지 가능성을 고려해 볼 수 있습니다. ,,,img_standing_M_C1_normal,,,,,,,,,,,,,
4052,AD-001,우선 해당 계정이 외부에서 침입해 프로메스의 계정 인식 시스템을 무력화시키고 정보를 은폐했을 가능성이 있지만……. ,,,img_standing_M_C1_normal,,,,,,,,,,,,,
