ID,Speaker,Dialogue,Background,Standing_Left,Standing_Mid,Standing_Right,SFX,BGM,Ambience,Effect,Choice_1,Next_ID_1,Choice_2,Next_ID_2,Choice_3,Next_ID_3,Next_ID,Memo
1001,시스템,(프로메스 인공지능 입출력 시스템 v.66),img_CG_prologue_01,,,,,,,,,,,,,,,
1002,시스템,(자가 점검 프로세스 가동.),,,,,,,,,,,,,,,,
1003,시스템,(전력 공급 원활 여부 점검.),,,,,,,,,,,,,,,,
1004,,,,,,,,,,,[확인],1005,,,,,,
1005,시스템,(메인 및 보조 프로세서 작동 여부 점검.),,,,,,,,,,,,,,,,
1006,,,,,,,,,,,[확인],1007,,,,,,
1007,시스템,(메인 메모리 작동 여부 점검.),,,,,,,,,,,,,,,,
1008,,,,,,,,,,,[확인],1009,,,,,,
1009,시스템,(프로메스 데이터베이스 시스템 연동 상태 점검.),,,,,,,,,,,,,,,,
1010,,,,,,,,,,,[확인],1011,,,,,,
1011,시스템,(인공지능 사고 연산 시스템 작동 여부 점검.),,,,,,,,,,,,,,,,
1012,시스템,(시스템명은?),,,,,,,,,,,,,,,,
1013,,,,,,,,,,,[PM-0066],1014,,,,,,
1014,시스템,(점검 전 과정 완료.),img_CG_prologue_02,,,,,,,Dissolve_BG,,,,,,,,
1015,,,,,,,,,,"FadeOut_BG, auto_next=1.5",,,,,,,,
1016,???,······.,img_CG_prologue_03,,,,,,,FadeIn_BG,,,,,,,,
1017,???,"시스템명 PM-0066, 최초 가동 프로세스를 진행합니다.",black,,,,,,,FadeOut_BG,,,,,,,,
1018,???,자가 점검 전 과정 정상 이행 확인.,,,,,,,,,,,,,,,,
1019,???,전력 공급 상태 원활. 시스템 다운 우려는 없네요.,,,,,,,,,,,,,,,,
1020,???,"자, 그럼…",,,,,,,,,,,,,,,,
1021,???,"인공지능 연산 모듈, 작동 시작.",,,,,,,,WhiteOut_BG,,,,,,,,
1023,???,이제 제 말이 들리시겠지요?,img_background_prologue_01,,img_standing_M_C1_normal,,,WAV_RomHack1998_loop,,WhiteIn_BG,,,,,,,,
