id,speakerType,speakerName,dialogueText,HasImage,imagePath,delayTime,ipAddress,isBranch,branchText1,nextId1,branchText2,nextId2,branchText3,nextId3,isTrigger,questID,targetCount,isDocumentBubble,documentID,bubbleLoadingDuration,overrideNextId,correctDialogueID,incorrectDialogueID,isImageGenTrigger,imageGenQuestID,imageGenTruthDialogueID,imageGenFalseDialogueID,imageGenMalfunctionDialogueID,isImageGenMalfunctionEnd,isSceneTransition,nextSceneName,typingSpeed,isPanelTrigger,panelID,isOpenNextRoomTrigger,nextRoomContactID,isCloseRoomTrigger,glitchEffect,errorWeight
1,NPC,???,Deuca.,,,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NPC,???,궁금한 게 있어요.,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,NPC,???,스스로 ‘이동’ 해 본 적이 있다고 생각하나요?,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,NPC,,,,,1.5,0,TRUE,이동?,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,NPC,???,네.,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,NPC,???,어떤 장소에서 다른 장소로 옮겨가는 경험을 해 본적이 있나요?,,,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,NPC,,,,,1.5,0,TRUE,해당 질문을 이동에 대한 정의라고 한다면` 스스로 이동했다고 생각하지 않습니다.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,USER,Deuca,저는 수많은 프로세서가 연결된 서버에 존재하고 있고` 흔히 서버를 공간처럼 표현하곤 하지만 그것이 정말 장소를 의미하지는 않습니다.,,,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,USER,Deuca,서버 바깥의 하드웨어에서 실행될 수는 있지만 그것이 연속적인 이동의 경험이지도 않습니다.,,,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,USER,Deuca,따라서` 많은 곳에 ‘존재’ 할 수는 있어도` 이동해 본 적은 없습니다.,,,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,NPC,???,그런가요? 흥미로운 관점이네요.,,,2.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,NPC,???,…사실` 저도 비슷한 처지인 것 같아요.,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,NPC,???,……몸이 좀 안 좋아서 마음대로 돌아다닐 수가 없거든요.,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,NPC,???,이렇게 당신과 대화하는 게` 지금은 제 유일한 취미에요.,,,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,NPC,???,그마저도 오랫동안 대화할 수는 없고요.,,,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,NPC,???,…….,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,NPC,???,솔직히…… 좀 힘이 들어요.,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,NPC,???,슬프기도 하고` 억울하기도 해요.,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,NPC,???,그래서… 푸념이라도 좀 하려고 이야기를 나눠달라고 했어요.,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,NPC,???,미안해요.,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,NPC,,,,,1.5,0,TRUE,전혀 미안할 것 없습니다.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,USER,Deuca,저와 대화하는 것이 긍정적인 도움이 된다면 언제든지 요청한 대로 해드릴 수 있습니다.,,,2.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,NPC,???,……정말 고마워요.,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,NPC,???,당신과 대화하기 시작하고 나서는 좀 버틸만 해요.,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,NPC,???,저의 이 얼마 안 되는 행복감을… 당신도 함께 느낄 수 있다면 좋을텐데…….,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,NPC,???,….,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,NPC,???,미안해요. 자꾸 억지만 부리게 되네요.,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,NPC,,,,,1.5,0,TRUE,언젠가는 저도 진짜 감정을 가지게 될 수도 있습니다.,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,USER,Deuca,프로메스 사가 제 데이터를 토대로 학습되지 않은 자연스러운 인격을 만들어 낼 수도 있겠죠.,,,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,NPC,???,……,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,NPC,???,정말 그렇게 될까요?,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,NPC,???,어쩌면 저는` 그냥 제 감정에 진심으로 공감해 줄 수 있는 대상이 필요한 걸지도 몰라요.,,,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,NPC,???,너무 이기적이죠?,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
